season,episode,img_src,painting_title,hex_codes
16,9,https://www.twoinchbrush.com/images/painting93.png,Barn in Snow Oval,#87949F
16,10,https://www.twoinchbrush.com/images/painting94.png,That Time of Year,#999284
16,11,https://www.twoinchbrush.com/images/painting95.png,Waterfall Wonder,#6E9CA0
16,12,https://www.twoinchbrush.com/images/painting96.png,Mighty Mountain Lake,#82949D
16,13,https://www.twoinchbrush.com/images/painting97.png,Wooded Stream Oval,#889288
17,1,https://www.twoinchbrush.com/images/painting71.png,Golden Mist Oval,#C3807E
17,2,https://www.twoinchbrush.com/images/painting72.png,The Old Home Place,#AF9267
17,3,https://www.twoinchbrush.com/images/painting73.png,Soothing Vista,#677B76
17,4,https://www.twoinchbrush.com/images/painting74.png,Stormy Seas,#9F8A75
17,5,https://www.twoinchbrush.com/images/painting75.png,Country Time,#A49279
17,6,https://www.twoinchbrush.com/images/painting76.png,A Mild Winter's Day,#C99E5E
17,7,https://www.twoinchbrush.com/images/painting77.png,Spectacular Waterfall,#7C789A
17,8,https://www.twoinchbrush.com/images/painting78.png,View from the Park,#98A9B2
17,9,https://www.twoinchbrush.com/images/painting79.png,Lake View,#66B7CF
17,10,https://www.twoinchbrush.com/images/painting80.png,Old Country Mill,#C58B5D
17,11,https://www.twoinchbrush.com/images/painting81.png,Morning Walk,#817681
17,12,https://www.twoinchbrush.com/images/painting82.png,Nature's Splendor,#978E98
17,13,https://www.twoinchbrush.com/images/painting83.png,Mountain Beauty,#7996B0
18,1,https://www.twoinchbrush.com/images/painting58.png,Half-Oval Vignette,#6DABC2
18,2,https://www.twoinchbrush.com/images/painting59.png,Absolutely Autumn,#A39187
18,3,https://www.twoinchbrush.com/images/painting60.png,Mountain Seclusion,#8C93A8
18,4,https://www.twoinchbrush.com/images/painting61.png,Crimson Oval,#C58943
18,5,https://www.twoinchbrush.com/images/painting62.png,Autumn Exhibition,#B89179
18,6,https://www.twoinchbrush.com/images/painting63.png,Majestic Peaks,#819BA7
18,7,https://www.twoinchbrush.com/images/painting64.png,Golden Morning Mist,#B7905A
18,8,https://www.twoinchbrush.com/images/painting65.png,Winter Lace,#CB93A0
18,9,https://www.twoinchbrush.com/images/painting66.png,Seascape Fantasy,#AFA349
18,10,https://www.twoinchbrush.com/images/painting67.png,Double Oval Stream,#AA926D
18,11,https://www.twoinchbrush.com/images/painting68.png,Enchanted Forest,#AA8E97
18,12,https://www.twoinchbrush.com/images/painting69.png,Southwest Serenity,#B79646
18,13,https://www.twoinchbrush.com/images/painting70.png,Rippling Waters,#A48F66
19,1,https://www.twoinchbrush.com/images/painting44.png,Snowfall Magic,#D8937C
19,2,https://www.twoinchbrush.com/images/painting45.png,Quiet Mountain Lake,#7E8388
19,3,https://www.twoinchbrush.com/images/painting46.png,Final Embers of Sunlight,#967F76
